"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AGR3",2329.42673114492,-7.00725569899975,0.183336164657845,0,0
"B3GNT5",406.423650570131,3.44883623828403,0.0842697151284102,0,0
"C6orf97",501.547485691905,-4.24570899609761,0.107244826503757,0,0
"ESR1",12160.4019331317,-5.86395818321712,0.138397054673722,0,0
"FOXC1",987.005587132807,4.65172479663443,0.0972855239537979,0,0
"FSIP1",407.72080675785,-6.21277706741989,0.142859010062444,0,0
"NAT1",2632.90292980022,-5.82737002956047,0.148690970562751,0,0
"ROPN1",197.098597108112,7.59080458990455,0.180921957987743,0,0
"SFRS13B",47.2687481879867,4.26355048780284,0.113238902395228,0,0
"SLC39A6",31132.5171874476,-3.8909065217339,0.100374271777329,0,0
"TBC1D9",9713.86978520837,-4.03916388543184,0.0936177946867253,0,0
"THSD4",3160.5519416226,-4.02416985630431,0.105838674590448,0,0
"TTYH1",557.301459914395,6.65447147543323,0.17208874433213,0,0
"XBP1",40027.3600644055,-3.24360492185387,0.0776076966085712,0,0
"MLPH",6178.82959563779,-4.43638651998083,0.118651298984359,3.25967993988181e-307,3.56456867025876e-304
"PGR",3235.4696154322,-6.5660695171524,0.175955368060722,2.19821742267416e-306,2.25358502400777e-303
"GATA3",11801.3208356896,-3.89687274883015,0.104478479218756,5.16794976484141e-306,4.98646352898198e-303
"HAPLN3",800.526072440672,3.70524382516801,0.0994542632470956,1.98120843456574e-305,1.80543121956566e-302
"RGMA",498.365754177788,3.66742396952344,0.0986569555141528,4.06088362711262e-304,3.50582495450149e-301
"CT62",50.1505329467478,-5.30009971309144,0.143231603657123,7.12651299463674e-301,5.84480963255132e-298
"ANXA9",747.463137893722,-4.0403376381913,0.109274019144683,1.06281380639091e-300,8.30158803153813e-298
"FAM171A1",735.48937877971,3.14230803504952,0.0856287599310304,1.41190266444125e-296,1.05270179112863e-293
"CA12",9813.31463859296,-4.53551813380426,0.123604959084925,5.78836569761858e-296,4.12811141469728e-293
"LOC145837",105.234228086289,-5.75378207182187,0.157375174569505,6.45166023251686e-294,4.40944094974892e-291
"EN1",531.361849219012,5.46798760600511,0.150281986121533,4.86053872359513e-291,3.18909666732524e-288
"ZNF552",1378.9787446032,-3.00448469253059,0.0832620728610832,7.29670201229701e-287,4.60337704260415e-284
"ROPN1B",196.483881026345,6.59387086766044,0.183131280947572,1.62002504247626e-285,9.8419521376808e-283
"SCRG1",218.111963293563,7.66605523058039,0.213209035009091,3.69859559062959e-285,2.16671655261062e-282
"SOX8",250.666172121225,5.89637370620145,0.163817067794872,5.03334762825139e-285,2.84696555676578e-282
"FOXA1",6005.80507747277,-4.73731968992171,0.132967359303245,3.71220234014904e-279,2.02970849951549e-276
"GPR77",111.601881001945,-3.66960334885066,0.103775598675528,1.51308022372591e-275,8.00614674508906e-273
"SLC16A6",518.256070412478,-4.82730497221105,0.137323731226796,7.75653334967332e-272,3.97595051670911e-269
"VGLL1",482.262697362013,7.88866201768296,0.224938102213894,1.43676619016908e-271,7.14159873252832e-269
"SLC22A5",609.29852132862,-2.04891842385347,0.0588770410230521,2.12824243325744e-266,1.02675178331535e-263
"BCL11A",265.977670265837,4.83135061941502,0.138865765631684,2.40263364089101e-266,1.12601141747244e-263
"PPP1R14C",317.868002433413,5.41454726989026,0.156468706397907,1.45241968200959e-263,6.61778890111202e-261
"CLCN4",172.200940510365,3.46665224758043,0.100439073620939,8.83168776226199e-263,3.9153020098482e-260
"AFF3",3216.83082370247,-4.69557122792173,0.136403400494412,7.62979311873356e-261,3.29346043491018e-258
"CYP2B7P1",2934.70633425715,-7.75225200450305,0.225627719092544,8.74148295892505e-261,3.6765780762884e-258
"ERBB4",1056.64614064896,-5.33624444009638,0.15745925160646,6.62275545871576e-253,2.71582644473287e-250
"GABRP",6063.31523551702,6.26017985406693,0.185073755735469,2.8397286537605e-252,1.13609924652765e-249
"CCDC125",605.346625366979,-1.92775208102618,0.056972958175181,6.12069753884725e-252,2.39042385070742e-249
"DNAJC12",1204.00737356067,-4.53162757416017,0.134806072863161,6.11915335283707e-249,2.33424354526945e-246
"ARSG",425.802541322431,-3.01639299195472,0.089983433928526,4.27869965751726e-248,1.59507978368763e-245
"ART3",217.508948471173,8.37171672398012,0.25065944001523,7.78728115700044e-247,2.83855050707285e-244
"ABAT",1352.0925379481,-3.80381476755236,0.1139305155382,5.4971292267654e-246,1.96020458057898e-243
"RUNDC1",1076.21577518061,-1.5615723935944,0.0468317852027873,1.06791364069456e-244,3.72701860602401e-242
"KDM4B",3009.71515699791,-2.1076276526646,0.0632758569859318,2.28054337837998e-244,7.79328188240975e-242
"FZD9",65.4323383110942,5.20974478428493,0.156748899402425,2.3619001924993e-243,7.90658139950325e-241
"SCUBE2",8381.02000494584,-5.6028004399193,0.169154236810553,8.50331123170434e-242,2.78959628267292e-239
"TTC36",75.552457965644,-6.23172507307472,0.18828697051732,1.14657131790919e-241,3.68768810346361e-239
"C6orf211",3156.51084716745,-3.28446510791319,0.100510074039555,5.48728708116759e-236,1.73092249985369e-233
"C1orf64",509.657437847474,-7.05427558672376,0.216298502774643,4.03080767880854e-235,1.24749695010371e-232
"A2ML1",519.126317804926,7.69505577444824,0.236756360494669,8.70545692493728e-234,2.64436314703234e-231
"CCDC82",249.302939092847,2.02085850981113,0.0621013309319196,2.54559331791121e-233,7.59188494430866e-231
"TTLL4",850.853269391201,2.12533727431933,0.0653581346167544,4.46397567170949e-233,1.30754630255448e-230
"RABEP1",3645.74027227032,-2.02290752975088,0.0622048218970012,5.05910066873709e-233,1.4558671626192e-230
"DNALI1",882.257175459878,-4.01591879296114,0.123704830109969,1.19951900627156e-232,3.39236383790902e-230
"RGS22",178.190320692148,-5.80883524629999,0.180504906479207,1.67116393538567e-228,4.6461189884968e-226
"AKR7A3",829.603622595142,-5.15560224240019,0.160569854997257,2.51112326462345e-227,6.86499248493642e-225
"CRYAB",2171.76166706724,4.40885107928603,0.137493102778806,7.31123291772769e-227,1.96600251720471e-224
"TPRG1",1215.51143513472,-5.50932140075946,0.172780220166337,2.63988340583702e-224,6.98419475902333e-222
"LRRC46",107.320997734703,-3.2497533570142,0.102428499158032,1.12132114132407e-222,2.91952867954582e-220
"CACNA2D2",482.395314289127,-4.04319936884553,0.127521764242371,4.60847865111339e-222,1.18113867678458e-219
"TUBA3D",165.106249547676,-7.08360458112969,0.223688523270276,6.53472899839277e-222,1.64906399631749e-219
"DEGS2",1380.57251783021,-4.38124572555438,0.138249238434423,1.11994601750179e-221,2.783405231073e-219
"MIA",574.003201053767,5.94264584855751,0.18788360746986,6.66559550114612e-221,1.63187705978059e-218
"MICALL1",991.431924070575,1.81509812085836,0.0573635794326952,1.17742117374993e-220,2.84018228132649e-218
"PSAT1",549.173382751317,4.63703079378712,0.146979373080137,1.24248917894513e-219,2.95370289887492e-217
"YBX1",7453.63235627445,1.69482581573398,0.053817755887972,1.43313563770769e-218,3.35824626647418e-216
"SLC7A8",2874.72915602156,-3.03829606989517,0.0967103357088119,2.182733497869e-218,5.04272923458384e-216
"TTC8",598.760759853829,-1.56514371677141,0.0499949419884127,4.68220780056714e-216,1.06669797989865e-213
"FSCN1",2445.70393330092,2.72710563642878,0.0872523016559369,4.75654326081593e-216,1.06878875489265e-213
"MAPT",2660.63898480288,-4.22260175145713,0.135183315535346,1.55545233063302e-215,3.4478492674829e-213
"CHST2",250.862523592649,2.75273375477162,0.0883257166209354,7.55561135856444e-215,1.65246257486043e-212
"BCAS1",838.073893742332,-5.12637254846981,0.164886138967415,2.41359384457432e-213,5.1415817964354e-211
