"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AGR2",10540.0376551749,-5.57154637928274,0.143372565812092,0,0
"AGR3",2184.1114269441,-7.53963234265565,0.157419475663528,0,0
"ANKRD30A",791.364610362981,-7.72785281240003,0.202702897671137,0,0
"AR",685.92398665591,-4.75433405489036,0.124145816522341,0,0
"C1orf64",575.192745001601,-7.68554248769313,0.179850292215096,0,0
"CA12",9303.38005035888,-4.26493601206018,0.107363887813377,0,0
"EN1",306.550741829106,4.92936880483581,0.126109145743454,0,0
"ESR1",10237.9420060158,-5.80324679190348,0.131695308850686,0,0
"FOXA1",6218.47760501903,-5.09971056168387,0.0853748560114331,0,0
"FOXC1",605.243012950759,4.07772880529907,0.091710699037057,0,0
"FSIP1",348.470852609075,-5.82675244884853,0.142033458722228,0,0
"GATA3",11018.0922754165,-3.56541250819346,0.0914663716307986,0,0
"LOC145837",112.255504143754,-6.07603363104243,0.152186157746298,0,0
"MLPH",6517.42753055858,-4.51928188254312,0.0888217331336691,0,0
"NAT1",2961.97115939771,-5.71700701002137,0.143697346760989,0,0
"PRR15",679.826770859149,-4.41467393765074,0.100721901219747,0,0
"SIDT1",816.640514787758,-3.36241872749381,0.0875502283055518,0,0
"SOX8",142.656575460296,5.21502415397559,0.13695402133313,0,0
"TBC1D9",9052.77640130071,-3.84624285104666,0.0889923959814756,0,0
"TFF1",4544.48939806273,-8.36144837238246,0.214007894731625,0,0
"TFF3",5344.15449860826,-6.71608686317829,0.167217495854593,0,0
"XBP1",39960.4451267531,-3.09434645754938,0.0667055374303264,0,0
"IGF2BP3",46.88943406439,4.31664785717257,0.116651818342303,6.25923924995157e-301,4.46392614856329e-298
"TTYH1",311.819551054662,5.63417790233386,0.152424176959279,3.08331134086868e-300,2.10731483017787e-297
"SCUBE2",7396.18767035059,-5.58752555747261,0.151925795837679,2.97742876033958e-297,1.953550558234e-294
"SFRS13B",29.9523928152262,3.70417890708712,0.101146244339477,3.58678894895902e-295,2.2628499665298e-292
"C6orf97",482.333079200953,-3.8999660138445,0.106919323780591,1.04480247774947e-292,6.34736853426836e-290
"SPDEF",3816.85150131801,-3.68283796127182,0.10153154182557,1.17358560104435e-289,6.87511593354658e-287
"CYP2B7P1",2582.10239625062,-7.56836528589352,0.209509653294854,2.19640770315253e-287,1.24233363982107e-284
"BCAS1",847.797932807514,-5.09816574283179,0.141252896743146,2.40850766250858e-286,1.31689170627094e-283
"CT62",51.506802804145,-5.30264823655122,0.146952044195337,3.12924360417166e-286,1.65577363997509e-283
"FAM19A3",22.6158257751944,4.73575375041954,0.131365125712494,1.08972099367078e-285,5.5858417059943e-283
"SLC44A4",2507.71475863961,-4.47117093686809,0.124326790096242,2.28118677771793e-284,1.13388808226992e-281
"DEGS2",1427.61228980906,-4.17823343452409,0.116304538919053,7.03879882516177e-284,3.39580638615084e-281
"ERBB4",1002.47319766783,-4.92673660060877,0.137143925904156,1.05832123928091e-283,4.9598980822642e-281
"SLC7A8",3065.66474003346,-2.91181989173168,0.0816333953278998,1.55667974600703e-280,7.09283829826482e-278
"ABCC8",220.044999938004,-6.31432705500424,0.177125404883836,1.26929689498306e-279,5.62710188335327e-277
"ZNF552",1386.09606318789,-2.79731978785213,0.0787206651456886,2.10861756109973e-278,9.10201417229443e-276
"PGR",3035.66085506815,-6.17933523321088,0.175195805295169,9.06906272126636e-274,3.81435476453672e-271
"TTC36",79.5144527236153,-6.38388841084048,0.181040258806112,1.11106681389439e-273,4.55620723707744e-271
"CYP4Z2P",384.569916933781,-6.23334040543492,0.177497907625011,1.94599844816009e-271,7.78541769394388e-269
"ANXA9",727.935821404311,-3.75097954739808,0.106891557127372,2.76645452726385e-271,1.0804322288264e-268
"THSD4",2815.14369505235,-3.5692835883434,0.101915931228509,2.32448489247279e-270,8.86709899796075e-268
"TTLL4",683.59989575652,1.93331698354733,0.0555842697697214,3.34604703012622e-266,1.24739112352637e-263
"MICALL1",806.911273162022,1.70627815203753,0.0492012139338388,1.25888521180807e-264,4.58877647317505e-262
"PRSS33",40.0156798414432,9.36594677830436,0.272971069365676,1.5188127947938e-260,5.41588832021798e-258
"C8orf46",86.9586357759619,4.48349977250815,0.130668813424906,3.77232631955858e-259,1.31654188552594e-256
"SCRG1",118.94950052642,6.47429665914746,0.191054237143593,4.87554465765028e-253,1.66611581290495e-250
"HPX",525.278771933513,-5.47913455567961,0.161886718427943,3.13644588045811e-252,1.04994126075825e-249
"COL11A2",108.740130446749,5.31063740010706,0.15697115723027,5.19973553911462e-252,1.70582524096194e-249
"ABAT",1410.37354495914,-3.54371808053174,0.105068269775772,4.81233934716932e-251,1.54778043748271e-248
"MFI2",430.076209665478,3.47450407941893,0.103293110911064,9.06667819725883e-250,2.86001389364686e-247
"DNALI1",838.467556529215,-3.79472787417809,0.11294831939536,6.05386633752613e-249,1.87361451951776e-246
"GPR77",114.549134942269,-3.5571376918542,0.105920953558343,6.46682092958821e-249,1.96435673533399e-246
"TBX19",77.5862864406994,2.02855721884979,0.0608671947268905,1.00493473482087e-244,2.9970808100485e-242
"AKR7A3",724.459833350954,-4.92147570998186,0.147807822182313,3.53564542606328e-244,1.03562842720921e-241
"CCDC125",638.928608105895,-1.77307775217996,0.053328141988362,1.69510217285007e-243,4.87802823530871e-241
"C9orf152",613.419662450392,-3.45716390261356,0.104798229456745,2.17326096826687e-240,6.14620683835887e-238
"ANKRD30B",234.693900967101,-6.85169630608745,0.207981433597914,1.96971274091654e-239,5.47613526936508e-237
"SYTL5",265.040306197754,-5.12809881688553,0.155619766239593,3.10411228942694e-239,8.48612564724502e-237
"MAPT",2492.34191339245,-4.05866690656822,0.123502680593213,3.61238495263603e-238,9.71376235706374e-236
"SLC4A8",608.842059537355,-3.69400127608266,0.112489980971549,4.56695344994288e-238,1.20825382966795e-235
"FAM171A1",545.717017094517,2.6235185016195,0.0799251362043385,5.10636128321653e-238,1.32951816077144e-235
"F7",155.974324286236,-5.05036788736084,0.153904194963778,2.91311298957627e-237,7.46621755750307e-235
"GRPR",313.889104447239,-6.05096663599632,0.185682456619708,3.60923169683428e-234,9.10803500356503e-232
"C4orf34",1543.77561900447,-1.98155928222377,0.0608002820901421,3.77162218374354e-234,9.37362404241596e-232
"KCNJ11",391.170386179138,-2.9146513744713,0.09052875429196,2.66952639494594e-229,6.53555842631318e-227
"DACH1",639.391006705543,-4.17759984868842,0.129692741161279,6.82229254251886e-229,1.64567742021966e-226
"NOSTRIN",509.271705880275,-3.16488597652746,0.0985549113064671,3.84880315363375e-228,9.14955335203686e-226
"MPZ",65.2733819382142,4.31888018686435,0.134727324120821,1.1466610399532e-226,2.68695443405032e-224
"SFT2D2",115.300765892851,1.68853424888276,0.0527778433484337,1.0580570019754e-225,2.44440971878909e-223
"SLC22A5",600.283631953514,-1.78452495708715,0.0558497185487934,3.95111110602938e-225,9.00139937113887e-223
"SLC16A6",467.767206026429,-4.35713722139304,0.136571980398114,1.57697685560933e-224,3.54344539213148e-222
"AFF3",2565.02113071922,-4.16485245820521,0.130756277061969,6.81130412486767e-224,1.50980839946222e-221
"PAPSS1",2351.22128395228,1.39232089072544,0.0439645832638934,2.49751496279954e-221,5.4622317246401e-219
"GFRA3",38.7372072965786,5.31879698330812,0.168283827112872,2.35406842006218e-220,5.08076109135262e-218
"ROPN1",108.332235565515,6.11787941305512,0.193952560403044,1.26817295899157e-219,2.70153779822581e-217
"ZMYND10",285.295447073185,-3.63553089323557,0.115480120967393,3.81058490414288e-219,8.01346463880201e-217
"DLX5",58.1618445365093,3.82047838204069,0.121504908963729,1.77654840713594e-218,3.68869918003174e-216
"ROPN1B",110.219759192395,5.58905209801374,0.1779997631341,1.47970202492324e-217,3.03394403935199e-215
"FBP1",1745.92088991938,-2.65441568718009,0.0847977840520024,7.85685216970905e-217,1.59106106345355e-214
"FZD9",38.6492734208256,4.53505142518507,0.144855861402943,2.74354072125037e-216,5.48808517691096e-214
"FSCN1",1908.1525031201,2.31514107448855,0.0740429050779755,4.93153231064691e-216,9.74601499898087e-214
"SERPINA11",312.369116735658,-5.95327342688301,0.190380691365669,7.26899451243202e-216,1.41944424985027e-213
"TSPAN1",1985.93258945304,-4.18768774680033,0.134138725103734,3.31781220500105e-215,6.40259689395673e-213
"INPP5J",722.33464131062,-3.29751511442277,0.105852928597825,7.1105248819045e-215,1.35620860044046e-212
"DLX6",14.1775187720433,5.74818469640962,0.185276452074693,1.67125616005607e-212,3.15099020613791e-210
"INPP4B",646.518727786956,-2.89358301764631,0.0937985761691342,7.79264437532973e-211,1.45253120100606e-208
"COL9A3",321.550678048546,4.79243334543768,0.155574033828033,1.80845246042244e-209,3.33303884363026e-207
"GP2",813.766413493354,-6.89243926619291,0.224240846194356,6.77392588756957e-209,1.23458562593115e-206
"TMPRSS6",167.464948176212,-5.43858019246493,0.176981962649435,1.71555510798226e-208,3.09233521277285e-206
"HAPLN3",596.782114020254,2.82978088231348,0.0925075590224636,2.39056747909514e-207,4.26222590865191e-205
"KIAA1370",1691.21251918814,-2.10900342911446,0.0688741321905796,3.69521378999093e-207,6.51748298894851e-205
"TUBA3D",121.759606554395,-6.4583995214801,0.211766469355205,1.33090329867541e-205,2.32242625618859e-203
"CLSTN2",1482.06582284509,-4.11942458336622,0.135338564854406,9.03170791375414e-205,1.55944320957168e-202
"IGF2BP2",140.740734755949,3.68417519076201,0.121295542585406,3.30357167139105e-204,5.64463397144035e-202
"RND1",414.991178925329,-2.94966695955976,0.0972900814795252,8.56115019174956e-204,1.44771697520895e-201
"MFGE8",3814.06542865453,2.59677282682345,0.0858065488948449,7.22153064642383e-203,1.20872211421725e-200
"CACNA2D2",399.578875737537,-3.63661061355364,0.120415141777324,5.76022442461338e-202,9.54393547847811e-200
"NEK10",220.887219584582,-5.16423510885668,0.171993944378581,3.61118944849333e-199,5.9234340523636e-197
"IFRD1",677.152536134026,1.65841525496864,0.0552717591944003,6.56332648593378e-199,1.06592321137398e-196
"DNAJC12",933.119561550026,-3.94790723311324,0.131924337092752,3.78531650002927e-198,6.08730848529217e-196
"ARSG",390.795970405966,-2.61483638084218,0.0876589955122044,3.20490343102595e-197,5.10388650282706e-195
"MATN4",14.9727890900687,5.30372389270664,0.178375831370309,2.1998552707575e-195,3.46963711598415e-193
"SLC43A3",1403.43448152037,2.02541975206794,0.0683291151526473,2.80125948118424e-194,4.3761008828443e-192
"GPR160",1046.92391595325,-2.24987428057908,0.0761685949665328,4.11410776334136e-193,6.3663877020838e-191
"LRRC31",123.523674157064,-7.55791881526303,0.25639992675402,1.31049069433097e-192,2.00896998683279e-190
"CHRM3",33.7706307095623,4.09898305675992,0.139363872602633,1.9520546507591e-191,2.96477337374088e-189
"POU5F1",5.77680994559068,3.20853693694492,0.109323884679659,3.3651166024882e-191,5.06403739730404e-189
"LRRC46",107.282393658766,-3.02528295586172,0.103187018591344,7.69542930671128e-191,1.14752842652714e-188
"CPB1",17018.4771176465,-9.29251017342173,0.319116470389312,6.41669294875758e-189,9.48225355301537e-187
"ART3",117.601261283045,6.74695961216335,0.231060410149624,7.80852267520738e-189,1.1435999771556e-186
"RHOB",9659.07667749403,-1.88654880823604,0.06458050671963,1.01497179681098e-188,1.47332587460979e-186
"TTC8",602.852622452366,-1.33556758127345,0.0457385875944816,1.08610499620943e-188,1.56275265375643e-186
