"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"FOXC1",1181.43739268062,4.539311412091,0.0959015277514895,0,0
"ROPN1",239.041862092581,7.70100387140454,0.204351761151463,0,0
"MIA",686.48100744734,6.79432663317035,0.193515402049235,2.54784231547769e-272,1.39307525002602e-268
"SFRS13B",56.7997720984547,4.01239838904947,0.119421590943519,1.79763349948693e-248,7.37164557302103e-245
"RGMA",603.906903489834,3.24449453031872,0.0982987625034983,3.79429669020566e-240,1.24475697218887e-236
"SHC4",341.183294152805,5.46706919692364,0.168272703014017,6.55235962394854e-233,1.7913059151938e-229
"ROPN1B",238.137561216021,6.48691657295208,0.208967917551296,1.30343177539584e-213,3.05431305883114e-210
"TTYH1",679.477285921423,5.99731540722091,0.193654100590703,2.8523876027555e-212,5.84846423099982e-209
"SCRG1",265.978774178052,7.41663743278773,0.244261800950327,3.22091830324416e-205,5.87030254756821e-202
"FAM171A1",884.512406053667,2.7710610070281,0.0917669309916803,7.88907662785413e-202,1.29404523926691e-198
"LOC145837",74.4802226412484,-5.47310412955962,0.18415215673435,1.79069896859608e-195,2.67025774380741e-192
"NAT1",1426.45848643112,-5.09507149776125,0.171767858691009,1.53719452701964e-194,2.10121681889192e-191
"FAM19A3",46.5110591014871,5.29669890426949,0.182508569918767,1.86335898803367e-186,2.35112903697817e-183
"XBP1",24318.0732082013,-2.60929788429024,0.0904822536829779,1.82086517517569e-184,2.13340367631478e-181
"PRSS12",148.99321178381,5.25876737896235,0.184870024819524,3.04490488999381e-179,3.32970499403789e-176
"FSIP1",153.25645561408,-4.94259555668604,0.175632734881315,2.28244974186358e-175,2.33993894473677e-172
"DSG1",362.963105933988,7.96493231032281,0.284963857070209,6.0645687637949e-175,5.85159537838398e-172
"GABRP",7349.61366867768,5.9258037898143,0.21175636959928,5.75644081683395e-174,5.24571659547374e-171
"AR",510.054531493194,-4.66019586608183,0.166685511803376,4.81344084636342e-173,4.15551948436311e-170
"SOX8",305.00353260424,5.4019189151223,0.193690516205897,1.67832187045051e-172,1.37647568204999e-169
"TMCC2",169.253939603766,3.17976545983383,0.114301223250718,1.34239184658767e-171,1.04853587902751e-168
"MFI2",779.976956042445,3.84738090167255,0.138817057689262,4.34688316765366e-170,3.24099657268287e-167
"PRSS33",92.5615893295591,9.28599720010408,0.341663501619675,5.60719762387875e-166,3.9989070706297e-163
