"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",182,0.865200111874237,1.94681729108532,1e-10,2.5e-09,1.89473684210526e-09,1355,"tags=48%, list=8%, signal=44%","CENPA/AURKB/CDC20/CDC25A/SLC7A5/TTK/KIF2C/PLK1/BIRC5/MYBL2/CCNB2/NDC80/CDC45/RAD54L/TPX2/CCNA2/CHEK1/UBE2C/STMN1/E2F2/BUB1/AURKA/EXO1/PTTG1/MAD2L1/STIL/MCM2/AMD1/EZH2/E2F1/KIF23/CKS1B/UCK2/HMGA1/PRC1/KIF4A/POLQ/KIF15/DKC1/CENPE/CDC7/UBE2S/KPNA2/MKI67/TROAP/E2F3/ODC1/CDC25B/CENPF/MCM6/CKS2/CDK1/PBK/LBR/FBXO5/DBF4/INCENP/MCM5/CDC6/MCM3/KIF11/PRIM2/CDKN3/SNRPD1/HMMR/TACC3/NASP/ESPL1/NUSAP1/PLK4/LMNB1/TFDP1/EFNA5/NEK2/RACGAP1/TOP2A/HMGB3/SMC4/GINS2/RBL1/SLC7A1/CHAF1A/SQLE/SAP30/SYNCRIP/KATNA1/RAD21"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",187,0.864236779168229,1.94270959253482,1e-10,2.5e-09,1.89473684210526e-09,1502,"tags=57%, list=9%, signal=52%","CCNE1/AURKB/CDC20/CDC25A/CDCA8/DSCC1/KIF2C/PLK1/BIRC5/CDCA3/MYBL2/KIF18B/CCNB2/CDKN2A/MELK/DEPDC1/CHEK1/TRIP13/ANP32E/STMN1/RAD51AP1/AURKA/GINS4/DIAPH3/PTTG1/MAD2L1/MCM2/EZH2/DONSON/CKS1B/DLGAP5/NCAPD2/HMGA1/KIF4A/MCM7/CENPE/GINS1/UBE2S/KPNA2/TCF19/MKI67/UBE2T/RANBP1/BUB1B/CDC25B/MCM4/DEK/CHEK2/MCM6/CKS2/CDK1/PRDX4/SPAG5/TUBB/LBR/RRM2/MCM5/MCM3/TK1/E2F8/PRIM2/CDKN3/SPC25/CENPM/HMMR/TACC3/USP1/NASP/ESPL1/PCNA/PLK4/GINS3/MSH2/LMNB1/SPC24/LYAR/ATAD2/RACGAP1/TOP2A/HMGB3/ASF1B/SSRP1/RAN/SMC4/RFC2/PHF5A/HMGB2/MTHFD2/CIT/HELLS/RNASEH2A/RFC3/NUP205/POLD1/TBRG4/UNG/SYNCRIP/TIPIN/RAD21/PSIP1/PSMC3IP/CSE1L/SUV39H1/AK2/NOP56/TMPO"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",187,0.791491793576877,1.77918683497162,4.27424867654613e-08,7.12374779424356e-07,5.39905095984775e-07,2548,"tags=49%, list=16%, signal=42%","CDC20/CDC45/CCNA2/TYMS/RFC4/IFRD1/MAD2L1/MCM2/SRPK1/MCM7/KPNA2/ODC1/RANBP1/MCM4/DEK/MCM6/PRDX4/HDAC2/SNRPA1/HDGF/MCM5/CCT5/ILF2/PSMD7/PSMB2/SNRPD1/USP1/PCNA/LSM2/SF3B3/TFDP1/TCP1/RAN/HSPD1/SERBP1/PPM1G/PSMA7/HPRT1/PGK1/SNRPG/XPOT/CCT4/PABPC1/UBA2/EIF2S2/YWHAQ/EIF3B/PSMD14/NOP16/SYNCRIP/HSP90AB1/CYC1/CAD/FBL/MRPL9/HSPE1/NOP56/VDAC3/CCT3/CDK4/COX5A/PABPC4/CCT7/SNRPA/XRCC6/PSMC4/STARD7/SSB/CDK2/VBP1/SSBP1/U2AF1/NOLC1/AIMP2/SRM/SNRPD3/HDDC2/PPIA/XPO1/PRPS2/SNRPB2/POLD2/ACP1/PHB2/TXNL4A/PSMD8/CUL1/CBX3/NME1/ABCE1/LDHA/PSMA4"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",189,-0.750857530173427,-1.80581762667952,1.74629671122311e-06,2.18287088902889e-05,1.65438635800084e-05,1000,"tags=32%, list=6%, signal=31%","MYB/CXCL12/MSMB/FASN/SLC19A2/SEMA3B/FOS/NPY1R/KRT18/AFF1/PRSS23/BHLHE40/SCNN1A/RAB17/MREG/PEX11A/IGFBP4/AREG/MUC1/MAST4/BCL2/ADCY9/EGR3/SYBU/TTC39A/ELOVL2/WFS1/SLC27A2/RARA/UGCG/CISH/REEP1/RET/CELSR1/ADCY1/LRIG1/SLC1A1/IL6ST/SLC22A5/ELOVL5/SEC14L2/KCNK15/DHRS2/GFRA1/KDM4B/SLC39A6/PDZK1/GREB1/SLC7A2/STC2/ANXA9/XBP1/THSD4/MAPT/AR/TFF3/CA12/MLPH/ABAT/TFF1/PGR"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",196,0.714281113072987,1.61344953217672,8.24064768813288e-05,0.000824064768813288,0.000624554351100597,957,"tags=17%, list=6%, signal=16%","TTK/KIF2C/PLK1/BIRC5/CCNB2/NDC80/TPX2/ANLN/PIF1/BUB1/AURKA/KIF23/DLGAP5/PRC1/KIF4A/KIF15/CENPE/CENPF/FSCN1/CDK1/FBXO5/INCENP/KIF11/ESPL1/NUSAP1/NCK2/TUBA4A/LMNB1/NEK2/RACGAP1/TOP2A/SMC4/MID1"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",170,-0.674809438342683,-1.58768366317726,0.00109260602604317,0.00798212207119185,0.00604960830658751,1021,"tags=14%, list=6%, signal=13%","TMBIM6/MAOA/FAH/F10/ADH1C/CD36/CES1/IGFBP4/IGF1/PDK4/CYB5A/CSAD/ENTPD5/UGDH/MCCC2/FBP1/GNMT/CROT/ELOVL5/ACSM1/ACOX2/SERPINA6/ESR1/TAT"
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",94,0.749937418400399,1.5402296839371,0.00111749708996686,0.00798212207119185,0.00604960830658751,1241,"tags=26%, list=8%, signal=24%","ART3/IL12RB2/TTK/KIF2C/CCNB2/PCSK1N/BUB1/AURKA/NCAPH/RFC4/EZH2/PSMG1/CDK1/LPIN1/DBF4/CDKN3/CNIH2/CCNA1/POMC/NEK2/RPL39L/SCG3/HSPA4L/SNAP91"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",191,0.64966137855271,1.46323047500281,0.00442616141719786,0.0270195037512994,0.0204779396851954,2589,"tags=42%, list=16%, signal=36%","PSAT1/CDC25A/SLC7A5/PLK1/PHGDH/BUB1/AURKA/IFRD1/ASNS/MCM2/PSMG1/POLR3G/ENO1/MCM4/GMPS/GAPDH/TPI1/PDK1/RRM2/MLLT11/DHCR7/SRD5A1/TUBA4A/SLC2A1/SHMT2/TOMM40/HSPD1/MTHFD2/CACYBP/HPRT1/CCT6A/PGK1/GPI/STIP1/PGM1/NUP205/EIF2S2/CALR/CTSC/SQLE/PNP/RPN1/PSPH/UNG/PSMD14/UCHL5/HSPE1/PNO1/FADS1/PSMC2/HSP90B1/EBP/FADS2/PLOD2/CCNF/PSMD12/HMBS/PSMC4/ACTR3/PDAP1/BCAT1/NFIL3/EEF1E1/PRDX1/ME1/ABCF2/PPIA/ARPC5L/PITPNB/DAPP1/TES/TFRC/SERPINH1/VLDLR/LDHA/PSMB5/PSMA4/SLC7A11/SSR1/YKT6"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",188,0.643702840317142,1.44645919249597,0.0048635106752339,0.0270195037512994,0.0204779396851954,3260,"tags=26%, list=20%, signal=21%","CCL7/IDO1/RIPK2/NUP93/PFKP/PLA2G4A/CXCL10/PSMB2/MTHFD2/PTPN2/LY6E/TAP1/PNPT1/PNP/PTGS2/PELI1/IFI44/RTP4/BATF2/CXCL11/SOD2/IFNAR2/PIM1/PLSCR1/CD38/IFIH1/UPP1/USP18/GBP6/NMI/EIF2AK2/TNFAIP2/ICAM1/CMPK2/SECTM1/OASL/MX2/PSMA2/MX1/PSMB9/PML/IL15RA/RSAD2/ISG15/IFI44L/ZBP1/PARP12/ISG20"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",57,0.766490076414616,1.49236505934395,0.00980705166398121,0.049035258319906,0.0371635642003498,2747,"tags=58%, list=17%, signal=48%","PLK1/MCM4/BYSL/NDUFAF4/NOP2/MCM5/NIP7/PLK4/HSPD1/TCOF1/WDR43/TBRG4/UNG/NOP16/HSPE1/NOP56/SUPV3L1/MPHOSPH10/CDK4/SLC19A1/MRTO4/PES1/NOLC1/AIMP2/SRM/PPAN/PUS1/CBX3/MYC/PPRC1/DDX18/MYBBP1A/WDR74"
