"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig"
"ERBB2",18705.4533870906,3.32443634124849,0.0898802716306081,8.00882609949487e-301,1.31192580335825e-296,"Up"
"STARD3",1731.80396214431,2.55500676246534,0.0722425563415916,2.13275668742495e-276,1.7468343648354e-272,"Up"
"PGAP3",1970.81065527024,2.79600100577816,0.0814167750970714,2.04099080003499e-260,1.11444900984577e-256,"Up"
"C17orf37",1996.21045290914,2.7862291589802,0.085248208275635,2.78283214662175e-236,1.13963933484527e-232,"Up"
"GRB7",1332.00314068794,2.93871665297127,0.0914051636314044,1.61574677649194e-228,5.29350958914288e-225,"Up"
"PSMD3",5039.28241872047,2.21340507399633,0.0724051958906445,3.73083446239071e-208,1.01857998880704e-204,"Up"
"ORMDL3",4015.68219254273,2.42676418568954,0.080752085543711,4.69704894675718e-201,1.09917655424042e-197,"Up"
"MED1",2545.89959170474,1.97337137008093,0.0775044752650616,5.50431098077245e-146,1.12707647720042e-142,"Up"
"FBXL20",239.323065785353,1.72323618964198,0.0732438279921187,4.69093129707374e-125,8.53801617526277e-122,"Up"
"CDK12",2054.20099479402,1.59058550822011,0.0679327162873659,1.41649645362346e-123,2.32036284068058e-120,"Up"
"GSDMB",199.912840703115,2.65347992465587,0.113956847032705,3.58890311602387e-122,5.34452926759882e-119,"Up"
"MED24",2355.62596238821,1.60098009481841,0.0690282653763607,2.31324152658991e-121,3.15776745392245e-118,"Up"
"TCAP",22.6230154409854,3.4582695729052,0.155977629684265,2.86727001546374e-110,3.61298077871627e-107,"Up"
"MSL1",2982.27241730087,1.36620592591363,0.0650544343811074,1.28460704386756e-99,1.50308199897104e-96,"Up"
"RPL19",26420.5229018589,1.6281534895732,0.0787023945519019,1.65542510742458e-97,1.80783457898147e-94,"Up"
"PNMT",256.18492474554,4.32212738742798,0.221985962978491,3.69115891304711e-86,3.77905463466405e-83,"Up"
"CASC3",3257.2860648855,1.23800081789252,0.0649528394943982,2.14880316685751e-82,2.07056145154664e-79,"Up"
"LOC90110",297.982386688919,1.30634698307135,0.0686836051527001,3.30253346607361e-82,3.00548892820843e-79,"Up"
"WIPF2",1559.77176423495,1.19089892259395,0.0677654188633536,1.82822092625929e-70,1.57621510489754e-67,"Up"
"CWC25",439.703000493058,0.959710862626931,0.0564948988118866,4.63154935512189e-66,3.79347049931258e-63,"Up"
"CDC6",629.317102979284,1.67494650256649,0.100015434959287,1.70709634704322e-65,1.33161644099595e-62,"Up"
"PIP4K2B",2406.99542136923,0.918650626644515,0.0568587089429357,4.00095993067504e-60,2.97907839201763e-57,"Up"
"PCGF2",1295.63974491342,1.12223337222314,0.0702858454978409,1.1705119375367e-58,8.33658958642988e-56,"Up"
"PSMB3",2575.07755348008,1.12100667554541,0.0705038731759283,3.40797979788438e-58,2.32608821121433e-55,"Up"
"RPL19P12",83.2240292828998,1.36587843010538,0.0923544831670124,3.34446877453505e-51,2.19142971982635e-48,"Up"
"LASP1",9170.83640077464,0.955728507996008,0.0645778790912126,6.45373118747399e-51,4.0660988685389e-48,"Up"
"PPP1R1B",3646.71343175286,2.81865199863353,0.191866490854989,7.13123326442053e-51,4.32654563349899e-48,"Up"
"CHGB",330.22638240875,-4.16574881865253,0.300226263263594,1.95292568245727e-45,1.14253127158331e-42,"Down"
"RPL23",13210.6020613331,1.01477115954879,0.0733149131867271,7.17155689175229e-45,4.05094046357911e-42,"Up"
"CISD3",1183.62886176154,1.06081218326987,0.0781399236731335,2.92112644390196e-43,1.59503240925193e-40,"Up"
"MRPL45",1065.17130267787,0.806286702836737,0.0611447061296406,2.94847642100782e-41,1.5580320081461e-38,"Up"
"C17orf96",214.854781572461,1.39278886607303,0.108584867953184,1.89706082518738e-39,9.71117293043575e-37,"Up"
"SRCIN1",501.797446646497,1.2884276846173,0.100838621757672,6.44139911817984e-39,3.19747148348194e-36,"Up"
"THRA",763.731305193439,0.893409869917843,0.070525406755857,3.08308693925257e-38,1.48541315152637e-35,"Up"
"CDH2",276.294510619148,1.99968460539022,0.163302657109996,1.88667768356732e-37,8.83019060986177e-35,"Up"
"RARA",2576.42654603523,0.883290728438127,0.0722405037446651,7.43234336770009e-36,3.38192268628598e-33,"Up"
"GPR179",7.49490057177916,1.53925413217658,0.129946338040923,1.47418157029415e-34,6.52664008188876e-32,"Up"
"TMEM86A",542.901279376104,1.11866023780729,0.0938207375157757,4.3897040936581e-34,1.89230901995298e-31,"Up"
"EPN3",999.640060523411,1.11540661207469,0.0946456502643225,2.28410163337133e-33,9.59381252724508e-31,"Up"
"PPP1R10",1969.01284515849,0.4350337288539,0.0369700311029439,6.02104621307172e-33,2.4657689504082e-30,"NS"
"UBE2Z",3443.69518549557,0.616432246678974,0.0528940875915669,1.16252451234295e-32,4.64471074065604e-30,"Up"
"PCSK1",257.904413681774,-2.6687556913202,0.233986991306261,1.83603353109355e-32,7.16096792210558e-30,"Down"
"TMEM49",3193.05807393563,0.715661366167169,0.0619499313659906,2.23089092379835e-32,8.49865679598621e-30,"Up"
"LRRC59",4749.69924200349,0.762084595079635,0.0660946166568457,2.60921085822675e-32,9.71397342468465e-30,"Up"
"SNF8",1094.65810690218,0.724920159579336,0.0642296795150253,4.62939499184543e-31,1.685202652476e-28,"Up"
"SMARCE1",3495.41450291822,0.579013664664995,0.0510775768379228,5.98046542937183e-31,2.12969574344652e-28,"NS"
"ZNF652",2439.48900012031,0.840100460989302,0.0750112849777423,1.21038151620853e-30,4.21856587595999e-28,"Up"
"PHB",3576.81256162457,0.755922323454498,0.0679787761404697,2.84427415095827e-30,9.70667809725987e-28,"Up"
"NTRK2",1359.57429410027,-1.69498595815358,0.15554535612647,3.20906122974271e-30,1.07280881641664e-27,"Down"
"SLC35B1",1158.75096138307,0.696836213876562,0.0627743367130349,4.16456631992231e-30,1.36439521773295e-27,"Up"
"MLLT6",3870.40178319611,0.697004512016624,0.0652589099104907,4.20726236646843e-28,1.35135617304156e-25,"Up"
"KCNC1",34.0729995580519,-2.31380728043056,0.225304331791961,1.34517303135319e-27,4.23755373588397e-25,"Down"
"CEACAM5",1309.79414457251,2.47163998044147,0.241862326061591,3.53232929700845e-27,1.09175634366595e-24,"Up"
"BEX1",294.126811885058,-2.70027597578468,0.265626499784696,1.36035629495877e-26,4.12666601254068e-24,"Down"
"CHRDL2",56.1858707961967,-2.37133945114574,0.236553104939793,1.90228499329957e-26,5.66569645004368e-24,"Down"
"UNC80",15.5984302716824,-2.63292262352883,0.264825828264825,1.01533354626331e-25,2.97003193238201e-23,"Down"
"ABCC4",274.546160611224,1.13722668135834,0.111808593363488,1.18235406661232e-25,3.39791964301342e-23,"Up"
"SNAP25",61.2370199778212,-1.93636977240614,0.198257405439001,1.87195347605526e-25,5.28697756745883e-23,"Down"
"CLTC",17180.5690559896,0.702069239418478,0.0704391463115318,7.02701230267517e-25,1.95100828017156e-22,"Up"
"UTP18",992.306101527375,0.615551220736116,0.0616006635111401,8.7396301292685e-25,2.38606468579246e-22,"Up"
"CYB561",4427.67080971754,0.659501322658666,0.0667683404681529,2.11723039612331e-24,5.68563133096654e-22,"Up"
"TOB1",3496.18516973096,0.850887310940316,0.087131282624084,4.71853126800333e-24,1.2466816242123e-21,"Up"
"TP53INP2",1058.54356347359,0.681662338273523,0.0698280461411573,5.93492560392159e-24,1.54317486218793e-21,"Up"
"CCDC87",44.6056446478735,0.867651961316061,0.0891876061782833,7.03746851651683e-24,1.8012620588916e-21,"Up"
"PPP1R9B",1811.5837974489,0.524086050160802,0.0533065501021252,7.54651891569769e-24,1.90183886704683e-21,"NS"
"SERHL",509.884037047528,1.31111868644143,0.136247498756296,1.53127444745155e-23,3.80057677631877e-21,"Up"
"LOC643719",26.9902954902916,-1.86166660340251,0.199934633251088,1.82564562145276e-23,4.46356730224144e-21,"Down"
"LBP",537.004445339541,2.4059179820926,0.258884150526137,2.55759816638737e-23,6.16117875935168e-21,"Up"
"FCGBP",1215.19517287212,-1.416415427278,0.149133969293962,2.88997933397996e-23,6.86097847390227e-21,"Down"
"N4BP2L1",246.823182458392,-0.636372137618578,0.0666642859688103,6.28122826585679e-23,1.46989714604286e-20,"Down"
"CYP3A5",11.6773532583506,1.33887331340813,0.14163286152199,6.80091062583725e-23,1.56909460509634e-20,"Up"
"CHRNB2",74.4285303380571,-1.77086495892679,0.193500649224391,1.11074609365329e-22,2.52710163335203e-20,"Down"
"RPL23P8",110.665793736408,0.827697382546716,0.087878223578096,1.31041487013121e-22,2.94053506679717e-20,"Up"
"SCG3",11.9580623495631,-2.46163424272512,0.270093371748666,1.57966151806844e-22,3.49681558479448e-20,"Down"
"SOX11",339.406814674898,1.41886879910592,0.153062817444383,2.4579640972063e-22,5.36852131684484e-20,"Up"
"ATP5G1",1079.77900794301,0.702462920183998,0.075026371675465,2.57814715451439e-22,5.55692480764476e-20,"Up"
"RUNDC3A",61.2686500958066,-1.82941280897573,0.203694188985324,4.31628258002187e-22,9.18247077186212e-20,"Down"
"EME1",107.216510138236,0.905423880683594,0.0976694823782588,6.18027395271614e-22,1.29793676435184e-19,"Up"
"TLCD1",270.40567149391,0.875055341710628,0.0945102431467167,6.41870763993768e-22,1.33094746645341e-19,"Up"
"PRR4",182.33430673367,1.26887012472711,0.137298466191363,6.91699900668378e-22,1.41634200910609e-19,"Up"
"KCNK3",126.929284507764,-1.76774468100023,0.197555534171191,7.29665557853572e-22,1.4756359880493e-19,"Down"
"TNFAIP1",1573.87481729246,0.405212781908842,0.0434033718409988,7.5470383239287e-22,1.50765896078385e-19,"NS"
"MFSD2A",195.004762064372,1.11357383430543,0.120072621511632,7.71008121648042e-22,1.52167277598995e-19,"Up"
"FGB",255.303557420755,3.74304010635722,0.40899269308129,1.36973277668077e-21,2.6711419779533e-19,"Up"
"SYN1",62.5381431262897,-1.34959597848152,0.149045421487743,2.62723315829412e-21,5.06314192541365e-19,"Down"
"RPS6KB1",1162.46387501303,0.613104131125615,0.0669764808328956,2.94949098814183e-21,5.61809440427341e-19,"Up"
"MRPL27",961.393948037845,0.640633002082401,0.0705268495590833,4.76793693760521e-21,8.97742241090931e-19,"Up"
"MYST2",1471.91648711393,0.558756889043322,0.0615611398744746,8.42261171316857e-21,1.56785002810698e-18,"NS"
"CALCOCO2",2640.43911078096,0.538142210485339,0.059626354808399,1.49781395232179e-20,2.75681914078463e-18,"NS"
"CAMP",36.4374485275177,1.70584211865616,0.197572819281691,1.57389635219608e-20,2.86466623836934e-18,"Up"
"C2orf54",367.45133544027,1.76299367022208,0.205122049525317,1.73017051468533e-20,3.11449705506158e-18,"Up"
"CITED1",89.4968759054355,-1.58407714890218,0.183472857829158,2.95439124394512e-20,5.2604220616375e-18,"Down"
"HEATR6",641.739504272824,0.626751875872982,0.070687677220474,3.7198821304466e-20,6.55219238482213e-18,"Up"
"ABCC3",616.284323764615,1.0531990206738,0.119459014561403,4.96468396788864e-20,8.60306879150359e-18,"Up"
"PP14571",112.628061759799,1.46655955407547,0.169513734552477,4.98926521697602e-20,8.60306879150359e-18,"Up"
"NME1",2422.35910464425,0.712621359709553,0.0811524063185181,5.21051541519288e-20,8.89098468919526e-18,"Up"
"PRR15L",979.267205929006,0.828537447514276,0.0949153370874029,7.33468098139801e-20,1.23785212343245e-17,"Up"
"USP32",1735.10556517846,0.702893643804531,0.0803706928365081,7.40550076896283e-20,1.23785212343245e-17,"Up"
"NTS",52.2449216322714,-3.37236923228309,0.389312781099022,9.46008700137237e-20,1.56530995120688e-17,"Down"
"EFCAB1",17.1955927637737,-1.51917730566793,0.17812817129198,1.06847134905853e-19,1.75026291689278e-17,"Down"
"CELF4",27.4298085374827,-1.44083808515878,0.168632953313246,1.47043735695522e-19,2.38487468755281e-17,"Down"
"NUFIP2",3166.23804116716,0.484636226006678,0.0552193636080985,1.63542592079988e-19,2.62646196162969e-17,"NS"
"BDNF",21.3640529227183,-1.53371372555771,0.181989671492316,2.33879538154668e-19,3.71959292671031e-17,"Down"
"FAIM2",228.019366755988,1.49136562065026,0.176924469240185,2.93885473477764e-19,4.62897878946083e-17,"Up"
"HMGCS1",1726.23774706023,0.519052082346191,0.0599449143157478,4.2428813180249e-19,6.61929894005389e-17,"NS"
"C17orf28",3333.48671632311,0.740108764675332,0.0871377102432796,6.00216243013114e-19,9.27560592150737e-17,"Up"
"ITGB6",1856.20604638893,1.18749625005345,0.140131996221053,8.41457196561681e-19,1.28821591933429e-16,"Up"
"ASRGL1",269.461860527073,1.1244394021109,0.132556518048636,8.78349594250989e-19,1.3322448799468e-16,"Up"
"TUBD1",250.81009543617,0.543727473505816,0.0635759016130027,9.61103249430141e-19,1.44438828705643e-16,"NS"
"GRIA1",39.9651964917433,-2.28919614790722,0.284118095335939,9.87589032501055e-19,1.47069963103634e-16,"Down"
"PTRH2",588.254269073738,0.623342590463814,0.0734266790027927,1.0424409558088e-18,1.53839867541478e-16,"Up"
"XYLT2",940.487891946166,0.51198134634527,0.0598517420351442,1.07525344876462e-18,1.57265417359047e-16,"NS"
"ACY3",27.1531839442349,1.52872949888269,0.186188823937485,1.49456797490073e-18,2.16659451299547e-16,"Up"
"DPP3",1435.85359952123,0.491538244599647,0.0578392489616909,1.8159905436122e-18,2.60945097323785e-16,"NS"
"ANK1",145.823421571807,-1.66262924829993,0.205451702445096,1.92816906344816e-18,2.7465510807256e-16,"Down"
"DPY19L2",36.9710875816288,-1.06492271302152,0.126976162695834,2.0317439264048e-18,2.86848489602785e-16,"Down"
"INA",30.2137710210067,2.00649926517328,0.252256517938794,2.04879270395738e-18,2.86848489602785e-16,"Up"
"SOCS7",87.4587711484716,0.845778352289769,0.101547054052933,2.37030168889978e-18,3.29050101405655e-16,"Up"
"KRT13",87.9316603143035,-2.87429235380448,0.353050605083291,2.56513102247019e-18,3.53104296462893e-16,"Down"
"WSCD2",24.9564263845492,-1.40185132816001,0.170314811555502,2.59400563092e-18,3.54103385334171e-16,"Down"
"CD207",81.6601442886778,-1.44537832991112,0.176738278885668,3.1525534385852e-18,4.25525553915148e-16,"Down"
"GALNT7",2670.75731915404,0.762839028183749,0.091979709674878,3.16916656966291e-18,4.25525553915148e-16,"Up"
"UNC13A",59.6854450124901,-1.47337976162754,0.180976838711182,3.64148674708782e-18,4.84969060195493e-16,"Down"
"AQP4",20.8176193332684,-1.56151212783299,0.193391317031257,3.82353992810478e-18,5.05108125502294e-16,"Down"
