"gene","in_splsda","in_rf_top100","in_both"
"ROPN1",TRUE,TRUE,TRUE
"TFF3",TRUE,TRUE,TRUE
"AGR3",TRUE,TRUE,TRUE
"HORMAD1",TRUE,TRUE,TRUE
"VGLL1",TRUE,TRUE,TRUE
"ROPN1B",TRUE,TRUE,TRUE
"KRT16",TRUE,TRUE,TRUE
"GABRP",TRUE,TRUE,TRUE
"LEMD1",TRUE,TRUE,TRUE
"MIA",TRUE,TRUE,TRUE
"A2ML1",TRUE,TRUE,TRUE
"ART3",TRUE,TRUE,TRUE
"SCUBE2",TRUE,TRUE,TRUE
"FSIP1",TRUE,TRUE,TRUE
"CXorf61",TRUE,FALSE,FALSE
"TFF1",TRUE,TRUE,TRUE
"C1orf64",TRUE,TRUE,TRUE
"TTYH1",TRUE,FALSE,FALSE
"SHC4",TRUE,FALSE,FALSE
"FAM19A3",TRUE,TRUE,TRUE
"NAT1",TRUE,TRUE,TRUE
"LOC145837",TRUE,TRUE,TRUE
"OCA2",TRUE,FALSE,FALSE
"KLK6",TRUE,FALSE,FALSE
"GFRA3",TRUE,FALSE,FALSE
"ANKRD30A",TRUE,TRUE,TRUE
"POU4F1",TRUE,FALSE,FALSE
"GABBR2",TRUE,FALSE,FALSE
"RASGEF1C",TRUE,FALSE,FALSE
"DLX6",TRUE,FALSE,FALSE
"ABCC8",TRUE,TRUE,TRUE
"TTC36",TRUE,TRUE,TRUE
"SOX8",TRUE,FALSE,FALSE
"MAPK4",TRUE,TRUE,TRUE
"SCRG1",TRUE,FALSE,FALSE
"AMY1A",TRUE,FALSE,FALSE
"SLC6A14",TRUE,FALSE,FALSE
"MSLN",TRUE,FALSE,FALSE
"LOC84740",TRUE,FALSE,FALSE
"FBN3",TRUE,FALSE,FALSE
"ABCA13",TRUE,FALSE,FALSE
"PRSS33",TRUE,TRUE,TRUE
"SOX10",TRUE,TRUE,TRUE
"OPRK1",TRUE,FALSE,FALSE
"SLC6A15",TRUE,FALSE,FALSE
"SFRP1",TRUE,TRUE,TRUE
"SLC7A13",TRUE,TRUE,TRUE
"CYP2B7P1",TRUE,TRUE,TRUE
"PRSS12",TRUE,TRUE,TRUE
"KRT9",TRUE,FALSE,FALSE
"TMEM132C",TRUE,TRUE,TRUE
"FXYD1",TRUE,TRUE,TRUE
"CD300LG",TRUE,TRUE,TRUE
"C7",TRUE,TRUE,TRUE
"CLDN19",TRUE,TRUE,TRUE
"CHRDL1",TRUE,TRUE,TRUE
"SLC7A3",TRUE,TRUE,TRUE
"PAK7",TRUE,FALSE,FALSE
"SCARA5",TRUE,TRUE,TRUE
"C2orf40",TRUE,TRUE,TRUE
"COL17A1",TRUE,TRUE,TRUE
"CIDEC",TRUE,FALSE,FALSE
"HEPACAM",TRUE,FALSE,FALSE
"GRIA4",TRUE,FALSE,FALSE
"FIGF",TRUE,FALSE,FALSE
"GPD1",TRUE,FALSE,FALSE
"TUSC5",TRUE,FALSE,FALSE
"CIDEA",TRUE,FALSE,FALSE
"RERGL",TRUE,TRUE,TRUE
"AQP7P1",TRUE,FALSE,FALSE
"HEPN1",TRUE,FALSE,FALSE
"SYN2",TRUE,TRUE,TRUE
"LEP",TRUE,FALSE,FALSE
"MRAP",TRUE,FALSE,FALSE
"ALDH1L1",TRUE,TRUE,TRUE
"GLYAT",TRUE,FALSE,FALSE
"C14orf180",TRUE,FALSE,FALSE
"EDN3",TRUE,TRUE,TRUE
"PROL1",TRUE,TRUE,TRUE
"CA4",TRUE,FALSE,FALSE
"LOC283392",TRUE,FALSE,FALSE
"NPY2R",TRUE,FALSE,FALSE
"OSR1",TRUE,TRUE,TRUE
"GFAP",TRUE,TRUE,TRUE
"KRT14",TRUE,TRUE,TRUE
"TAC1",TRUE,FALSE,FALSE
"TNMD",TRUE,FALSE,FALSE
"ANGPTL7",TRUE,FALSE,FALSE
"RELN",TRUE,TRUE,TRUE
"NCRNA00110",TRUE,FALSE,FALSE
"SMYD1",TRUE,FALSE,FALSE
"MRGPRX3",TRUE,FALSE,FALSE
"IRX1",TRUE,TRUE,TRUE
"CLCA4",TRUE,TRUE,TRUE
"KCNJ16",TRUE,TRUE,TRUE
"HPSE2",TRUE,FALSE,FALSE
"STAB2",TRUE,FALSE,FALSE
"IL17B",TRUE,FALSE,FALSE
"LOC389033",TRUE,FALSE,FALSE
"C2orf54",TRUE,TRUE,TRUE
"FCRLB",TRUE,FALSE,FALSE
"LOC150622",TRUE,TRUE,TRUE
"NPY1R",TRUE,TRUE,TRUE
"SPINK8",TRUE,FALSE,FALSE
"CLCA2",TRUE,TRUE,TRUE
"KCNJ3",TRUE,TRUE,TRUE
"MUCL1",TRUE,TRUE,TRUE
"GRIA2",TRUE,FALSE,FALSE
"GPR139",TRUE,TRUE,TRUE
"FAM196A",TRUE,FALSE,FALSE
"MYT1",TRUE,FALSE,FALSE
"FUT3",TRUE,FALSE,FALSE
"PLEKHG7",TRUE,FALSE,FALSE
"GLYATL2",TRUE,TRUE,TRUE
"CRISP3",TRUE,FALSE,FALSE
"S100A9",TRUE,TRUE,TRUE
"CYP4Z2P",TRUE,TRUE,TRUE
"RUNDC3A",TRUE,FALSE,FALSE
"PEX5L",TRUE,TRUE,TRUE
"CPB1",TRUE,FALSE,FALSE
"S100A8",TRUE,TRUE,TRUE
"MMP1",TRUE,TRUE,TRUE
"ABCC12",TRUE,FALSE,FALSE
"OTOR",TRUE,TRUE,TRUE
"ASCL1",TRUE,FALSE,FALSE
"AGTR1",TRUE,TRUE,TRUE
"SEZ6L",TRUE,TRUE,TRUE
"CST9",TRUE,TRUE,TRUE
"GRIA1",TRUE,FALSE,FALSE
"CST9L",TRUE,FALSE,FALSE
"LOC100130148",TRUE,TRUE,TRUE
"PHGR1",TRUE,TRUE,TRUE
"BEX1",TRUE,FALSE,FALSE
"PNMT",TRUE,FALSE,FALSE
"IGSF1",TRUE,FALSE,FALSE
"EPO",TRUE,FALSE,FALSE
"KCNC1",TRUE,FALSE,FALSE
"ABCC2",TRUE,FALSE,FALSE
"C1orf173",TRUE,FALSE,FALSE
"ABCC11",TRUE,TRUE,TRUE
"ATP13A5",TRUE,FALSE,FALSE
"HSD17B2",TRUE,FALSE,FALSE
"PHF21B",TRUE,FALSE,FALSE
"LBP",TRUE,FALSE,FALSE
"DPY19L2P4",TRUE,FALSE,FALSE
"PADI3",TRUE,FALSE,FALSE
"B4GALNT2",TRUE,FALSE,FALSE
"NPY5R",TRUE,FALSE,FALSE
"TRH",TRUE,TRUE,TRUE
"LEFTY2",FALSE,TRUE,FALSE
"HPX",FALSE,TRUE,FALSE
"APOF",FALSE,TRUE,FALSE
"PGR",FALSE,TRUE,FALSE
"TNIP3",FALSE,TRUE,FALSE
"TUBA3E",FALSE,TRUE,FALSE
"LOC100128977",FALSE,TRUE,FALSE
"TUBA3D",FALSE,TRUE,FALSE
"GP2",FALSE,TRUE,FALSE
"NEK10",FALSE,TRUE,FALSE
